age,credit_amount,duration,feat01,feat02,feat03,feat04,feat05,feat06,feat07,feat08,feat09,feat10,checking_status_{0;200),checking_status_(-inf;0),checking_status_{200;inf),checking_status_no checking,credit_history_'all paid',credit_history_'critical/other existing credit',credit_history_'delayed previously',credit_history_'existing paid',credit_history_'no credits/all paid',employment_{1;4),employment_{4;7),employment_(-inf;1),employment_{7;inf),employment_unemployed,existing_credits_1,existing_credits_2,existing_credits_3,existing_credits_4,foreign_worker_no,foreign_worker_yes,housing_'for free',housing_own,housing_rent,installment_commitment_1,installment_commitment_2,installment_commitment_3,installment_commitment_4,job_'high qualif/self emp/mgmt',job_'unemp/unskilled non res',job_'unskilled resident',job_skilled,num_dependents_1,num_dependents_2,other_parties_'co applicant',other_parties_guarantor,other_parties_none,other_payment_plans_bank,other_payment_plans_none,other_payment_plans_stores,own_telephone_none,own_telephone_yes,personal_status_'female div/dep/mar',personal_status_'male div/sep',personal_status_'male mar/wid',personal_status_'male single',property_magnitude_'life insurance',property_magnitude_'no known property',property_magnitude_'real estate',property_magnitude_car,purpose_'domestic appliance',purpose_'new car',purpose_'used car',purpose_business,purpose_education,purpose_furniture/equipment,purpose_other,purpose_radio/tv,purpose_repairs,purpose_retraining,residence_since_1,residence_since_2,residence_since_3,residence_since_4,savings_status_{100;500),savings_status_{500;1000),savings_status_(-inf;100),savings_status_{1000;inf),savings_status_no known savings
0.26785714285714285,0.08732518445105164,0.029411764705882346,0.06083388956629207,0.905871377439185,0.7675155402622429,-0.27359481266445485,1.1897465204170976,-0.0048195410564544185,0.39027657158158346,-1.1179249058646408,0.9343060146060141,1.7102039902855668,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0.07142857142857145,0.0076533421429358026,0.16176470588235292,1.1098779654215911,1.4955297197912207,-1.0271157857478452,1.5464772408308918,-0.37677478721656177,-0.26739319544362167,2.020010076373138,0.700627847124491,-0.1425458394800824,0.5125791958976063,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
0.42857142857142855,0.07471644092060346,0.2941176470588235,-0.43217070121478074,0.2120931221099085,0.3672534257662294,-0.8835159819022429,0.18561047930241828,0.24151888678699876,0.1268029792080025,-1.1965812471923392,1.0900278237169485,-0.030179847821992182,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
0.42857142857142855,0.05764783614139411,0.20588235294117646,0.03750492007020051,-0.8219746991692992,0.5750340941353158,0.30085146507713506,-0.15199735358008482,0.5839393498922183,-0.2582616583269848,0.6259448337772439,-0.6388530131402855,-3.377801209986967,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
0.19642857142857145,0.16226186543332233,0.2941176470588235,0.7201481987823558,1.1411177457132926,0.2576933770749034,0.09683057590348051,1.080274896958784,-0.7945519590755605,0.6704927820882266,-1.8650845383975132,-1.3288086885617145,-0.27802276957151356,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
0.21428571428571425,0.13968725911243257,0.2941176470588235,-0.18146201605046022,-0.9922146945202408,-0.4581196121257646,2.486884427041407,0.26469336711516966,-1.0390539688237823,1.876231751086051,0.25724119813709745,1.426085223542541,-1.063053327798384,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0.21428571428571425,0.05004955401387512,0.16176470588235292,0.313614227997635,1.253413914733388,1.6904253654126404,1.0382467098246189,-1.3744324230586873,0.6569823983413066,-1.1713502111101697,1.0868111882197067,0.9613904519062209,0.6567475957744642,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
0.035714285714285754,0.02026208567338399,0.1176470588235294,1.520913795829522,1.1838046143988818,0.1621894923700215,-1.0117270721385336,0.6939962149886385,0.18831587246167047,0.3140516548477846,-0.9236332186171184,2.024108612624414,-0.0722613758937505,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
0.33928571428571425,0.3454465367250303,0.6470588235294117,1.3096218897437828,0.8806508871924986,-0.6089697052346134,-2.2284008431209004,-1.54885759673602,-0.8207841931143446,0.8657636071387143,0.7411317776637486,1.0179658451423714,-0.4249040206301048,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0.19642857142857145,0.4027640127739236,0.2941176470588235,-0.8292417350296091,-0.4240937402011266,0.5840088165725538,0.8732752833624458,1.0129750654562193,-0.24977751323320935,-0.4502576043066326,-0.04242753219090514,-0.8404839386644987,0.9454552264293382,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
